"filename","filetype","event-span","event-span-norm","weighted-event-span","weighted-event-span-norm"
"10-100_phaseVariation","pnml",528942,0.558324,718412,0.758319
"10-10_phaseVariation","pnml",,,,
"20-100_phaseVariation","pnml",,,,
"20-10_phaseVariation","pnml",,,,
"2-100_phaseVariation","pnml",,,,
"2-10_phaseVariation","pnml",678,0.745,1050,1.15
"2D8_gradient_10x10_10","pnml",6432,0.094035,7565,0.1106
"2D8_gradient_10x10_100","pnml",,,,
"2D8_gradient_10x10_150","pnml",,,,
"2D8_gradient_10x10_200","pnml",,,,
"2D8_gradient_10x10_50","pnml",6432,0.094035,7565,0.1106
"2D8_gradient_20x20_10","pnml",51732,0.0436336,54005.81,0.04555146
"2D8_gradient_20x20_100","pnml",,,,
"2D8_gradient_20x20_150","pnml",,,,
"2D8_gradient_20x20_50","pnml",,,,
"2D8_gradient_30x30_10","pnml",176486,0.02865219,187325.8,0.03041201
"2D8_gradient_30x30_100","pnml",,,,
"2D8_gradient_30x30_150","pnml",,,,
"2D8_gradient_30x30_50","pnml",,,,
"2D8_gradient_40x40_10","pnml",432014,0.021909181,469048.75,0.023787364
"2D8_gradient_40x40_100","pnml",,,,
"2D8_gradient_40x40_150","pnml",,,,
"2D8_gradient_40x40_50","pnml",,,,
"2D8_gradient_50x50_10","pnml",,,,
"2D8_gradient_50x50_100","pnml",866022,0.017852443,955821.7,0.019703601
"2D8_gradient_50x50_150","pnml",,,,
"2D8_gradient_50x50_50","pnml",,,,
"2D8_gradient_5x5_10","pnml",714,0.1983,851.7,0.2366
"2D8_gradient_5x5_100","pnml",714,0.1983,851.7,0.2366
"2D8_gradient_5x5_150","pnml",714,0.1983,851.7,0.2366
"2D8_gradient_5x5_200","pnml",714,0.1983,851.7,0.2366
"2D8_gradient_5x5_250","pnml",,,,
"2D8_gradient_5x5_300","pnml",,,,
"2D8_gradient_5x5_350","pnml",,,,
"2D8_gradient_5x5_50","pnml",714,0.1983,851.7,0.2366
"30-100_phaseVariation","pnml",,,,
"30-10_phaseVariation","pnml",,,,
"5-100_phaseVariation","pnml",,,,
"5-10_phaseVariation","pnml",32181,0.61733,45277,0.86856
"angiogenesis-01","pnml",699,0.28,923,0.3698
"angiogenesis-05","pnml",699,0.28,923,0.3698
"angiogenesis-10","pnml",699,0.28,923,0.3698
"angiogenesis-15","pnml",699,0.28,923,0.3698
"angiogenesis-20","pnml",,,,
"angiogenesis-25","pnml",699,0.28,923,0.3698
"angiogenesis-50","pnml",699,0.28,923,0.3698
"ARMCacheCoherence","pnml",,,,
"BridgeAndVehicles-V04-P05-N02-unfolded","pnml",712,0.489,995.1,0.6835
"BridgeAndVehicles-V10-P10-N10-unfolded","pnml",6601,0.4775,9084.9,0.65718
"BridgeAndVehicles-V20-P10-N10-unfolded","pnml",15848,0.42529,21683,0.58189
"BridgeAndVehicles-V20-P10-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V20-P10-N50-unfolded","pnml",,,,
"BridgeAndVehicles-V20-P20-N10-unfolded","pnml",15848,0.42529,21683,0.58189
"BridgeAndVehicles-V20-P20-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V20-P20-N50-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P20-N10-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P20-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P20-N50-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P50-N10-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P50-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V50-P50-N50-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P20-N10-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P20-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P20-N50-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P50-N10-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P50-N20-unfolded","pnml",,,,
"BridgeAndVehicles-V80-P50-N50-unfolded","pnml",,,,
"circadian_clock-000001","pnml",66,0.295,80.3,0.358
"circadian_clock-000010","pnml",66,0.295,80.3,0.358
"circadian_clock-000100","pnml",66,0.295,80.3,0.358
"circadian_clock-001000","pnml",,,,
"circadian_clock-010000","pnml",,,,
"circadian_clock-100000","pnml",,,,
"CircularTrain-012","pnml",98,0.34,130,0.45
"CircularTrain-024","pnml",205,0.178,235.5,0.2045
"CircularTrain-048","pnml",423,0.0918,454.5,0.09863
"CircularTrain-096","pnml",855,0.046387,887.85,0.048169
"CircularTrain-192","pnml",1726,0.02341,1757.9,0.023843
"CircularTrain-384","pnml",3464,0.0117459,3499.35,0.0118657
"CircularTrain-768","pnml",6954,0.005894979,6995.88,0.005930481
"closed_system1","pnml",3795,0.08133,5158.5,0.11055
"closed_system2","pnml",3795,0.08133,5158.5,0.11055
"closed_system3","pnml",3795,0.08133,5158.5,0.11055
"closed_system4","pnml",3795,0.08133,5158.5,0.11055
"closed_system5","pnml",3795,0.08133,5158.5,0.11055
"cs_repetitions-10-unfolded","pnml",,,,
"cs_repetitions-2-unfolded","pnml",233,0.362,317,0.493
"cs_repetitions-3-unfolded","pnml",1805,0.3842,2526,0.5376
"cs_repetitions-4-unfolded","pnml",8468,0.41123,11640,0.56525
"cs_repetitions-5-unfolded","pnml",,,,
"cs_repetitions-7-unfolded","pnml",185187,0.446412,253523,0.611142
"database10UNFOLD","pnml",171253,0.257911,228787,0.344558
